Date,PG,^GSPC,MSFT,AAPL,AC.TO,SU,BA,WMT,TD,ABT
2018-04-02,72.84094238,2581.879883,85.91396332,162.0588074,26.30999947,30.81859779,308.7998657,82.03305054,50.84676361,56.25974655
2018-04-03,73.83850861,2614.449951,87.06892395,163.7214203,26.28000069,31.39336205,316.8254089,83.23166656,50.72019196,57.02327728
2018-04-04,74.39374542,2644.689941,89.61180115,166.8521423,26.35000038,31.46635628,313.5883789,83.63439178,50.67498016,57.46786499
2018-04-05,74.15847778,2662.840088,89.6603241,168.0091248,25.87999916,32.98995209,322.1693115,84.20013428,51.21744919,57.85446548
2018-04-06,73.81025696,2604.469971,87.57362366,163.7117004,25.80999947,32.94433594,312.3242188,83.12618256,50.51224136,55.64119339
2018-04-09,73.55618286,2613.159912,88.09771729,165.3353882,25.40999985,33.02644348,308.8381653,82.7330246,51.12534332,56.26941299
2018-04-10,73.75380707,2656.870117,90.14559937,168.4466705,25.36000061,33.51910782,320.665741,82.8960495,51.41817093,57.15858078
2018-04-11,73.65969849,2642.189941,89.15563202,167.6591187,25,34.29459,313.5117493,82.37825012,51.13449478,56.49170685
2018-04-12,73.20796967,2663.98999,90.82499695,169.3119965,24.95999908,34.21247482,323.2036438,81.91798401,51.08874512,57.13265991
2018-04-13,73.75380707,2656.300049,90.33971405,169.8856049,24.75,34.5500412,315.3505249,82.48371887,50.7318573,56.80247116
2018-04-16,73.97966766,2677.840088,91.39762878,170.9454193,25.19000053,34.23984146,317.7351685,83.27000427,50.77761841,57.55997086
2018-04-17,73.81025696,2706.389893,93.24168396,173.2983093,25.81999969,34.54091644,322.4757996,84.28643799,51.00638199,58.07468033
2018-04-18,73.59381866,2708.639893,93.60079956,172.9093933,26.23999977,35.12480545,326.5747681,83.97000885,50.70440674,57.80276108
2018-04-19,71.1881485,2693.129883,93.28050995,168.0091248,25.70999908,35.0062027,326.230011,84.27685547,50.21942139,58.15237045
2018-04-20,70.09586334,2670.139893,92.20318604,161.125412,25.81999969,34.8967247,324.3432922,83.40426636,50.3658371,57.48227692
2018-04-23,69.33601379,2670.290039,92.5428772,160.6587524,25.71999931,34.74163437,324.5061035,82.56044006,50.3658371,57.14237976
2018-04-24,68.8611145,2634.560059,90.37853241,158.4225159,25.60000038,34.70513153,315.139801,82.97276306,50.68610382,56.6276741
2018-04-25,68.67115784,2639.399902,89.59238434,159.1128082,25.11000061,34.94234467,328.3560181,83.58644867,50.81422043,56.95786285
2018-04-26,69.09855652,2666.939941,91.48497772,159.6670074,24.76000023,35.24341202,328.289032,84.32479858,51.25345612,57.78333664
2018-04-27,69.1555481,2669.909912,92.99905396,157.8196869,25.01000023,34.5135498,326.4598083,83.7015152,51.38157272,57.84160614
2018-04-30,68.70913696,2648.050049,90.76675415,160.6781769,25.23999977,34.87847519,319.4494629,84.82341766,51.38157272,56.45286179
2018-05-01,68.34820557,2654.800049,92.20318604,164.4116974,25.09000015,34.7872467,315.5995483,83.81658936,51.46392822,57.12295532
2018-05-02,67.37940216,2635.669922,90.75706482,171.6746216,24.80999947,34.65039444,310.4758606,82.79057312,51.71099091,56.18093872
2018-05-03,67.77832031,2629.72998,91.30056763,171.985733,24.14999962,34.74163437,316.7008667,82.68510437,51.67438889,56.25862885
2018-05-04,68.79462433,2663.419922,92.35848236,178.7333221,24.04999924,35.02444839,320.2826538,83.93164063,51.87570953,57.04526901
2018-05-07,68.36721802,2672.629883,93.38726807,180.0264587,23.95999908,35.06094742,326.0288391,81.95633698,52.07702255,57.60852432
2018-05-08,67.85431671,2671.919922,92.98934174,180.8917694,23.70999908,35.06094742,324.0559998,82.21523285,51.94891739,57.01612854
2018-05-09,68.73764038,2697.790039,94.0860672,182.165451,23.10000038,35.52622986,329.9266663,79.64540863,52.69013214,57.68622208
2018-05-10,69.47848511,2723.070068,95.02751923,184.7711487,22.88999939,36.03713989,331.1586609,79.79014587,53.32152557,58.81275558
2018-05-11,69.68744659,2727.719971,94.82369232,184.0684204,23.76000023,36.33821487,329.6090698,80.45595551,53.42219162,59.49255371
2018-05-14,69.60195923,2730.129883,95.14398956,183.6389618,23.61000061,37.54249573,331.6591492,81.4305191,53.64180756,60.23063278
2018-05-15,69.28851318,2711.449951,94.45489502,181.9699707,24.64999962,37.2687912,329.2818298,81.55596924,53.63265228,58.79333115
2018-05-16,69.8394165,2722.459961,94.69857788,183.6682281,24.69000053,37.44213104,328.1749573,83.10951233,54.06274414,59.01669312
2018-05-17,70.24783325,2720.129883,93.75305939,182.5067902,24.59000015,37.7796936,331.2259827,81.52701569,54.04444504,59.29832458
2018-05-18,69.76343536,2712.969971,93.92851257,181.8430786,24.31999969,37.37827301,338.0499268,80.70682526,53.68756104,59.92957687
2018-05-21,70.34280396,2733.01001,95.13722992,183.1314392,,37.70671463,350.2637939,81.54633331,53.86142349,60.3180275
2018-05-22,70.3143158,2724.439941,95.03975677,182.6726837,23.96999931,37.45125961,341.6977539,80.44630432,54.16339874,59.61880493
2018-05-23,70.45677948,2733.290039,96.17047882,183.8439636,23.80999947,37.1045723,345.7304993,80.09893036,53.87057495,60.05582047
2018-05-24,70.06736755,2727.76001,95.82931519,183.6389618,24.21999931,36.88560867,345.5283813,79.94452667,53.83397293,60.70648956
2018-05-25,70.5802536,2721.330078,95.87805176,184.0586548,24.46999931,35.73607254,346.5774841,79.56821442,53.95293045,60.57052994
2018-05-29,70.33331299,2689.860107,95.53687286,183.3949738,23.89999962,35.56272888,339.2530212,79.51032257,53.01955032,59.53139496
